zcta,cbsa_name,county_name,state_name,Apply Poverty ,Concentrated wealth per square mile,population_per_square_mile,income_per_capita,Median age - V1 x income per capita x V2 (income per capita*(median age-V1)*V2),Home equity per capita (housing units*%owner-occupied*median value)*V3,poverty_rate,pop_total,pop_total,area_land_sq_miles,median_age,median_age_male,median_age_female,pop_total_18_64,pop_pct_18_64,race_pct_nh_white,race_pct_nh_black,race_pct_nh_amerind_alaskan,race_pct_nh_asian,race_pct_nh_nhpi,race_pct_nh_other,race_pct_nh_two_plus,race_pct_hispanic,income_per_capita,income_median_hh,mean_travel_time_to_work,housing_units,hu_pct_occupied,occupied_hu_pct_owner_occupied,ZILLOW Typical Home Values,educ_pct_hs_grad,educ_pct_bachelors,educ_pct_postgrad,veteran_pct
92662,Los Angeles-Long Beach-Anaheim,Orange County,California,12016145488,12088283583,11265,125203,456990.95,616134.751,0.002983802,2346,2346,0.208263884,61.5,64,61.3,1181,0.50341006,0.956095482,0,0,0.017476556,0,0,0,0.026427962,125203,157128,29.8,1915,0.6125326,0.57544756,4282821.45,0.043699186,0.44410568,0.1824187,0.063367255
11217,New York-Newark-Jersey City,Kings County,New York,8998976817,11557762590,58410,100325,108351,89522.28649,0.11069555,43045,43045,0.736946753,35.8,35.1,36.6,29920,0.695086537,0.517110001,0.164781043,0.000673714,0.090463468,0,0.008433035,0.074015565,0.144523173,100325,152735,34.8,20908,0.90453416,0.2940461,1385897.1,0.07778683,0.37055147,0.34649402,0.014483194
10002,New York-Newark-Jersey City,New York County,New York,5441715090,11389139880,93055,43736,83973.12,38418.20809,0.2611007,76518,76518,0.822286823,44.2,41.7,45.8,48809,0.637876055,0.255547714,0.080255626,0.000967093,0.372160799,0.000313652,0.007501503,0.023654565,0.259599049,43736,43362,32.5,39094,0.92157364,0.17275453,944628.65,0.18186441,0.26392898,0.11704292,0.017325914
10036,New York-Newark-Jersey City,New York County,New York,8067387422,10750094027,69158,91750,131202.5,24239.43655,0.12477596,30930,30930,0.447235074,39.3,40.1,37,24090,0.77885548,0.504138377,0.066375687,0.001293243,0.15981248,0.001066925,0.004623343,0.056967346,0.205722599,91750,102287,29.3,22524,0.8398153,0.082628466,959341.97,0.09795339,0.39707407,0.27435395,0.009922976
11201,New York-Newark-Jersey City,Kings County,New York,8459376123,10727298435,51521,108933,110022.33,98191.57025,0.10570799,69755,69755,1.353925287,35.1,34.8,35.5,48710,0.698301197,0.574754498,0.114429073,0.000544764,0.141767615,0,0.005060569,0.052985449,0.110458032,108933,163310,31.7,35121,0.91759914,0.34790704,1221789.69,0.08202809,0.37119493,0.41012123,0.020137498
10009,New York-Newark-Jersey City,New York County,New York,5831113324,10653613671,94724,67969,89719.08,22751.16483,0.22633167,58418,58418,0.616719074,38.2,38.7,36.8,43126,0.738231367,0.500838783,0.068643226,0.001591975,0.134051149,8.56E-05,0.005871478,0.042658085,0.246259714,67969,83344,32.1,32019,0.9266373,0.09555106,937620.87,0.108619034,0.3731069,0.24966358,0.020548338
10009,New York-Newark-Jersey City,New York County,New York,5831113324,10653613671,94724,67969,89719.08,22751.16483,0.22633167,58418,58418,0.616719074,38.2,38.7,36.8,43126,0.738231367,0.500838783,0.068643226,0.001591975,0.134051149,8.56E-05,0.005871478,0.042658085,0.246259714,67969,83344,32.1,32019,0.9266373,0.09555106,937620.87,0.108619034,0.3731069,0.24966358,0.020548338
94114,San Francisco-Oakland-Berkeley,San Francisco County,California,8923421575,10007885764,24452,130271,221460.7,187818.1881,0.054180484,33858,33858,1.384644561,42,44.6,38.6,25152,0.742867269,0.668113887,0.023509953,0.003367003,0.132730817,0.001772107,0.001594896,0.072242897,0.096668439,130271,184671,33.7,18521,0.9149614,0.45037177,1666443.44,0.05596705,0.4031912,0.3866122,0.026089564
60611,Chicago-Naperville-Elgin,Cook County,Illinois,8124406808,9887111859,44452,133726,177855.58,44565.88265,0.089141555,35247,35247,0.792920057,38.3,36.2,41.6,25772,0.731182796,0.634550458,0.035577496,0.000794394,0.238318155,0,0.005333787,0.022952308,0.062473402,133726,126812,25.1,28021,0.8227401,0.43445823,313660.87,0.02821443,0.40994895,0.4796789,0.021737173
10001,New York-Newark-Jersey City,New York County,New York,6263137541,9173928027,43274,98272,105151.04,106845.0135,0.15864472,27004,27004,0.624022928,35.7,36.5,34.6,20882,0.773292846,0.501555325,0.082210043,0,0.186305732,0,0.008258036,0.02888461,0.192786254,98272,106509,26.5,16975,0.8468336,0.23805217,1686290.31,0.084987976,0.4202707,0.2890157,0.028712464
10026,New York-Newark-Jersey City,New York County,New York,5307072045,8794240411,99833,49988,55486.68,32603.06987,0.19826433,38265,38265,0.383291123,36.1,34.3,37.6,26717,0.698209852,0.218633216,0.475656605,0.000548804,0.062537567,0,0.004808572,0.039330981,0.198484255,49988,68831,36,17307,0.88039523,0.19780797,827841.03,0.21336223,0.26991695,0.22769953,0.016393442
94109,San Francisco-Oakland-Berkeley,San Francisco County,California,6434249517,8781244292,52232,98574,122231.76,45887.41402,0.1336368,56333,56333,1.078509732,37.4,39.1,36.3,42980,0.762963094,0.509541477,0.045213285,0.001828413,0.259776685,0.000426038,0.007136137,0.044893757,0.131184208,98574,108691,30.5,38996,0.83244437,0.16422278,969790.17,0.09584087,0.3897637,0.262836,0.026794856
11372,New York-Newark-Jersey City,Queens County,New York,5879352528,8259276868,90711,38895,63398.85,27651.59976,0.14407583,67001,67001,0.738620497,41.3,40.4,42.4,43921,0.655527529,0.183236071,0.025193654,0,0.22875778,0.00098506,0.005641707,0.032342801,0.523842928,38895,73089,39.7,26542,0.95542914,0.35419378,412532.8,0.28010914,0.1819395,0.15951324,0.0129791
2116,Boston-Cambridge-Newton,Suffolk County,Massachusetts,5758138057,8257586668,34318,128940,121203.6,119414.7437,0.15134256,22286,22286,0.649393173,34.4,35.6,33.4,17114,0.767926052,0.654312124,0.046396841,0.001525621,0.153549313,0.005653774,0.004083281,0.056044153,0.078434892,128940,131648,22.7,14284,0.8341501,0.3498951,1276697.96,0.08237805,0.31859756,0.45408538,0.012026574
2110,Boston-Cambridge-Newton,Suffolk County,Massachusetts,5793269045,8230315975,13064,150082,399218.12,230761.4417,0.14805306,2337,2337,0.178882833,51.6,51.4,51.7,1339,0.572956782,0.848951647,0.055198973,0,0.044073599,0.005562687,0.006418485,0.012409071,0.027385537,150082,126157,28.9,1570,0.8356688,0.597561,1375738.42,0.030668678,0.346908,0.50276524,0.02613159
2116,Boston-Cambridge-Newton,Suffolk County,Massachusetts,5758138057,8257586668,34318,128940,121203.6,119414.7437,0.15134256,22286,22286,0.649393173,34.4,35.6,33.4,17114,0.767926052,0.654312124,0.046396841,0.001525621,0.153549313,0.005653774,0.004083281,0.056044153,0.078434892,128940,131648,22.7,14284,0.8341501,0.3498951,1276697.96,0.08237805,0.31859756,0.45408538,0.012026574
2110,Boston-Cambridge-Newton,Suffolk County,Massachusetts,5793269045,8230315975,13064,150082,399218.12,230761.4417,0.14805306,2337,2337,0.178882833,51.6,51.4,51.7,1339,0.572956782,0.848951647,0.055198973,0,0.044073599,0.005562687,0.006418485,0.012409071,0.027385537,150082,126157,28.9,1570,0.8356688,0.597561,1375738.42,0.030668678,0.346908,0.50276524,0.02613159
94105,San Francisco-Oakland-Berkeley,San Francisco County,California,7377680876,8194945445,27830,196978,173340.64,121125.9416,0.049863942,13722,13722,0.493068619,33.8,34.5,33.5,12215,0.890176359,0.34652383,0.00976534,0,0.536000583,0.008963708,0,0.013773502,0.084973036,196978,250001,26,9327,0.81655407,0.39180672,1114001.49,0.03457689,0.36926132,0.4538837,0.007482058
94133,San Francisco-Oakland-Berkeley,San Francisco County,California,5214630539,7808757364,38718,72350,145423.5,56259.05049,0.16610369,25460,25460,0.657574246,45.1,41.8,48.1,16882,0.66307934,0.335388845,0.032168107,0.00188531,0.491084053,0.000864101,0.006284368,0.035388845,0.096936371,72350,77652,31.1,15552,0.83577675,0.17548853,1255901.34,0.12644437,0.3090129,0.20728199,0.018608734
11215,New York-Newark-Jersey City,Kings County,New York,6682865160,7570340508,32904,98246,119860.12,110210.7345,0.058615286,72014,72014,2.188583526,37.2,37.3,37.1,47983,0.666300997,0.669355959,0.035770822,0.000333269,0.090801789,0,0.005110117,0.047893465,0.150734579,98246,173899,39,31967,0.92173177,0.40407264,1333229.59,0.06370062,0.37231684,0.42331114,0.015670052
33131,Miami-Fort Lauderdale-Pompano Beach,Miami-Dade County,Florida,6533121938,7418466946,44977,103351,107485.04,57453.96573,0.059671696,22540,22540,0.501144673,35.4,35.2,35.7,18561,0.823469388,0.325022183,0.026086957,0.004924579,0.042014197,0,0.001464064,0.037045253,0.563442768,103351,121730,20.2,18627,0.67386055,0.32919058,626821.05,0.06734153,0.40421155,0.3751421,0.026110444
10030,New York-Newark-Jersey City,New York County,New York,2809218227,7254584708,112774,35352,44190,20138.65016,0.30638325,31268,31268,0.277263043,37.5,36.6,38.5,21753,0.69569528,0.088908789,0.537866189,0.000223871,0.03626711,9.59E-05,0.009818345,0.030254573,0.296565178,35352,47765,38.8,14350,0.91268295,0.14362067,669532.51,0.21347733,0.18665227,0.16475162,0.023557127
10030,New York-Newark-Jersey City,New York County,New York,2809218227,7254584708,112774,35352,44190,20138.65016,0.30638325,31268,31268,0.277263043,37.5,36.6,38.5,21753,0.69569528,0.088908789,0.537866189,0.000223871,0.03626711,9.59E-05,0.009818345,0.030254573,0.296565178,35352,47765,38.8,14350,0.91268295,0.14362067,669532.51,0.21347733,0.18665227,0.16475162,0.023557127
10044,New York-Newark-Jersey City,New York County,New York,5706361339,7145956242,51489,67809,101035.41,37750.8607,0.10072794,11846,11846,0.230068882,39.9,40,39.8,7478,0.631267939,0.426473071,0.127553605,0,0.288114131,0,0.011902752,0.039000507,0.106955934,67809,120759,35.1,5908,0.8529113,0.20738241,855878.88,0.130291,0.23985891,0.4510582,0.019755896
98121,Seattle-Tacoma-Bellevue,King County,Washington,5730173779,6832825504,46354,110372,94919.92,52486.96276,0.08068783,20562,20562,0.443591062,33.6,34.1,32.3,17930,0.871996887,0.477045035,0.046639432,0,0.334451902,0,0.012352884,0.057533314,0.071977434,110372,142926,22.8,15504,0.88293344,0.25823653,610600.83,0.063859835,0.3913703,0.395659,0.03023577
